"unique_row","study_ID","long_cite","short_cite","peer_reviewed","coder","expt_num","expt_condition","same_infant","response_mode","exposure_phase","method","dependent_measure","participant_design","native_lang","infant_type","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","SD_1","SD_2","t","F","r","d","d_var","corr","test_lang","stimuli_link","data_link","age_range_1","age_range_2","n_excluded_1","n_excluded_2","gender_1","gender_2","num_trials","special_cases_measures","x_dif","SD_dif","contrast_sampa","audio_condition","speaker","speech_type","object_stimulus","cue_type","N_AFC","mean_comprehension_vocab","mean_production_vocab","pointing_modality","motive","correlation_type","condition_type","stimulus_naturalness","contrast_pseudoIPA","sampa_comments","counterbalanced","backness","height","nasality","roundness","tenseness","length","F1_1","F2_1","F1_2","F2_2","duration_word_1","duration_word_2","duration_vowel_1","duration_vowel_2","peripherality","Linguistic","words_to_passage","edge_alignment","familiarization_voice","familiarization_register","familiarization_affect","test_voice","test_register","indexical","rule.type","repetitions","types","tokens","expt_condition2","word_round","word_spiky","multiple_age_groups_younger_older","replication","native","label_present","instruction_code","taxonomic_type","tokens_per_trial","word_types_per_cond","publication_type","main_or_baseline_study","Modality","Semantics","TrainingRule","Speech","Nonspeech","CorrectPronunciation","Mispronunciation","is_correct","n_feature","type_feature","mispron_location","scenarios","Hamlin_Lab","stimuli_type","minimal_pairs","cues_present","word_typicality","ME_trial_type","preceding","task_difficulty","median_production_vocab","sentence_structure","agent_argument_type","patient_argument_type","stimuli_modality","stimuli_actor","transitive_event","intransitive_event","presentation_type","character_identification","practice_phase","test_mass_or_distributed","n_train_test_pair","n_test_trial_per_pair","n_repetitions_sentence","n_repetitions_video","learning_domain","live_video","task","rhythm_class","speech_manip","percentV","deltaC","deltaV","VarcoV","nPVI_V","rPVI_C","corr_imputed","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_infant_calc","all_mod","mean_age_months","year"
"1","smith2008","Smith, L., & Yu, C. (2008). Infants rapidly learn word-referent mappings via cross-situational statistics. Cognition, 106(3), 1558–1568. https://doi.org/10.1016/j.cognition.2007.06.010","Smith & Yu (2008)","yes","Rodrigo Dal Ben",1,"12_months","1","eye-tracking","familiarization","looking while listening","looking_time","within_two","American English","typical","smith2008_12m_target","smith2008_12m_distractor",28,NA,372.28,NA,3.1824,2.4,0.512,0.512,NA,35.32,NA,NA,NA,NA,"artificial",NA,NA,53.88,NA,1,NA,0.5357142857,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cross-situational word learning","CrossSituational","early_language",1.528125,0.0774136788504464,1.48404447115385,0.0730119210385913,0.60712746628878,0.00487151101004537,0.704359232221294,0.04,2.77171215347041,0.254680795162295,"special_case",372.28,28,"smith2008 1","",12.2312162467402,"2008"
"2","smith2008","Smith, L., & Yu, C. (2008). Infants rapidly learn word-referent mappings via cross-situational statistics. Cognition, 106(3), 1558–1568. https://doi.org/10.1016/j.cognition.2007.06.010","Smith & Yu (2008)","yes","Rodrigo Dal Ben",1,"14_months","2","eye-tracking","familiarization","looking while listening","looking_time","within_two","American English","typical","smith2008_14m_target","smith2008_14m_distractor",27,NA,428.16,NA,3.5956,2.4879,0.913,1.096,NA,NA,NA,NA,NA,NA,"artificial",NA,NA,42.44,NA,1,NA,0.4814814815,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cross-situational word learning","CrossSituational","early_language",1.09819102428815,0.0593708060338343,1.0652452935595,0.0558619913972347,0.481309935394275,0.00673247188877536,0.524687770008931,0.0416666666666667,1.99189818166157,0.195322122842585,"special_case",428.16,27,"smith2008 2","",14.0671471693464,"2008"
"3","yu2011","Yu, C., & Smith, L. B. (2011). What you learn is what you see: using eye movements to study infant cross-situational word learning. Developmental Science, 14(2), 165–180. https://doi.org/10.1111/j.1467-7687.2010.00958.x","Yu & Smith (2011)","yes","Rodrigo Dal Ben",1,"experimental","3","eye-tracking","familiarization","looking while listening","looking_time","within_two","American English","typical","yu2011_target","yu2011_distractor",18,NA,432.248,NA,3.25,2.67,0.49,0.38,5.26,NA,NA,NA,NA,NA,"artificial",NA,NA,NA,NA,14,NA,0.4444444444,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cross-situational word learning","CrossSituational","early_language",1.322801928288,0.110294219950221,1.2607955878995,0.10019648252802,0.551655895032705,0.0092835354651794,0.62075846500681,0.0666666666666667,2.39929729653657,0.362853439545138,"group_means_two",432.248,18,"yu2011 3","",14.2014579354812,"2011"
"4","scott2012","Scott, R. M., & Fisher, C. (2012). 2.5-Year-olds use cross-situational consistency to learn verbs under referential uncertainty. Cognition, 122(2), 163–180. https://doi.org/10.1016/j.cognition.2011.10.010","Scott & Fisher (2012)","yes","Rodrigo Dal Ben",1,"intransitive_verbs","4","eye-tracking","test_only","looking while listening","looking_time","within_two","American English","typical","scott2012_target","scott2012_distractor",36,NA,949.728,NA,1.28,1.08,0.22,0.22,NA,7.75,NA,NA,NA,NA,"artificial",NA,NA,91.32,NA,4,NA,0.5,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cross-situational word learning","CrossSituational","early_language",0.909090909090909,0.0392561983471074,0.88903743315508,0.0375434089836712,0.413802944301184,0.00558657703262325,0.440191235352683,0.0303030303030303,1.6489085129402,0.129147715992216,"special_case",949.728,36,"scott2012 4","",31.2032033511982,"2012"
"5","scott2012","Scott, R. M., & Fisher, C. (2012). 2.5-Year-olds use cross-situational consistency to learn verbs under referential uncertainty. Cognition, 122(2), 163–180. https://doi.org/10.1016/j.cognition.2011.10.011","Scott & Fisher (2012)","yes","Rodrigo Dal Ben",2,"transitive_verbs_high_vocab","5","eye-tracking","test_only","looking while listening","looking_time","within_two","American English","typical","scott2012_high_vocab_target","scott2012_high_vocab_distractor",18,NA,940.596,NA,1.36,1.08,0.18,0.15,NA,18.97,0.38,NA,NA,NA,"artificial",NA,NA,97.408,NA,1.5,NA,0.5,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cross-situational word learning","CrossSituational","early_language",1.69000059279368,0.134891722323416,1.61078181500648,0.122542016300154,0.645428623780604,0.00669689472050374,0.767423260883746,0.0666666666666667,3.06532200076463,0.443775978771238,"special_case",940.596,18,"scott2012 5","",30.9031725497443,"2012"
"6","scott2012","Scott, R. M., & Fisher, C. (2012). 2.5-Year-olds use cross-situational consistency to learn verbs under referential uncertainty. Cognition, 122(2), 163–180. https://doi.org/10.1016/j.cognition.2011.10.012","Scott & Fisher (2012)","yes","Rodrigo Dal Ben",2,"transitive_verbs_low_vocab","6","eye-tracking","test_only","looking while listening","looking_time","within_two","American English","typical","scott2012_low_vocab_target","scott2012_low_vocab_distractor",18,NA,940.596,NA,1.19,1.25,0.2,0.17,NA,NA,NA,NA,NA,NA,"artificial",NA,NA,97.408,NA,1.5,NA,0.5,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cross-situational word learning","CrossSituational","early_language",-0.323263475064219,0.0584583131752943,-0.308110499670584,0.053106294757146,-0.159560925122743,0.0135265085872372,-0.160936118080447,0.0666666666666667,-0.586335085551625,0.192320141665048,"special_case",940.596,18,"scott2012 6","",30.9031725497443,"2012"
"7","mcgregor2013","McGregor, K. K., Rost, G., Arenas, R., Farris-Trimble, A., & Stiles, D. (2013). Children with ASD can use gaze in support of word recognition and learning. Journal of Child Psychology and Psychiatry and Allied Disciplines, 54(7), 745–753. https://doi.org/10.1111/jcpp.12073","McGregor, Rost, Arenas, Farris-Trimble, & Stiles (2013)","yes","Rodrigo Dal Ben",1,"asd_facilitative","7","behavior","test_only","forced-choice","target_selection","within_one","American English","ASD","mcgregor2013_asd_facilitative",NA,30,NA,4078.96,NA,74,33,20,NA,NA,NA,NA,NA,NA,NA,"artificial",NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cross-situational word learning","CrossSituational","early_language",2.05,0.103375,1.99508928571429,0.0979112224968112,0.715781948377211,0.00299706932048186,0.898941235648095,0.037037037037037,3.71828869668015,0.340090118320871,"group_means_one",4078.96,30,"mcgregor2013 7","",134.01375798271,"2013"
"8","mcgregor2013","McGregor, K. K., Rost, G., Arenas, R., Farris-Trimble, A., & Stiles, D. (2013). Children with ASD can use gaze in support of word recognition and learning. Journal of Child Psychology and Psychiatry and Allied Disciplines, 54(7), 745–753. https://doi.org/10.1111/jcpp.12073","McGregor, Rost, Arenas, Farris-Trimble, & Stiles (2013)","yes","Rodrigo Dal Ben",1,"asd_neutral","7","behavior","test_only","forced-choice","target_selection","within_one","American English","ASD","mcgregor2013_asd_neutral",NA,30,NA,4078.96,NA,42,33,14,NA,3.55,NA,NA,NA,NA,NA,"artificial",NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cross-situational word learning","CrossSituational","early_language",0.642857142857143,0.0402210884353741,0.625637755102041,0.0380952448740976,0.306009180413121,0.00748675624153786,0.316136303533072,0.037037037037037,1.16601387700771,0.132322077146124,"group_means_one",4078.96,30,"mcgregor2013 7","",134.01375798271,"2013"
"9","mcgregor2013","McGregor, K. K., Rost, G., Arenas, R., Farris-Trimble, A., & Stiles, D. (2013). Children with ASD can use gaze in support of word recognition and learning. Journal of Child Psychology and Psychiatry and Allied Disciplines, 54(7), 745–753. https://doi.org/10.1111/jcpp.12073","McGregor, Rost, Arenas, Farris-Trimble, & Stiles (2013)","yes","Rodrigo Dal Ben",1,"typical_facilitative","8","behavior","test_only","forced-choice","target_selection","within_one","American English","typical","mcgregor2013_typical_facilitative",NA,43,NA,3987.64,NA,73,33,20,NA,NA,NA,NA,NA,NA,NA,"artificial",NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cross-situational word learning","CrossSituational","early_language",2,0.0697674418604651,1.96341463414634,0.0672383202136049,0.707106781186547,0.00218023255813953,0.881373587019543,0.025,3.62759872846844,0.229525683746264,"group_means_one",3987.64,43,"mcgregor2013 8","",131.013449968172,"2013"
"10","mcgregor2013","McGregor, K. K., Rost, G., Arenas, R., Farris-Trimble, A., & Stiles, D. (2013). Children with ASD can use gaze in support of word recognition and learning. Journal of Child Psychology and Psychiatry and Allied Disciplines, 54(7), 745–753. https://doi.org/10.1111/jcpp.12073","McGregor, Rost, Arenas, Farris-Trimble, & Stiles (2013)","yes","Rodrigo Dal Ben",1,"typical_neutral","8","behavior","test_only","forced-choice","target_selection","within_one","American English","typical","mcgregor2013_typical_neutral",NA,43,NA,3987.64,NA,42,33,14,NA,4.38,NA,NA,NA,NA,NA,"artificial",NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cross-situational word learning","CrossSituational","early_language",0.642857142857143,0.0280612244897959,0.63109756097561,0.0270439842355741,0.306009180413121,0.00522331830804967,0.316136303533072,0.025,1.16601387700771,0.0923177282414821,"group_means_one",3987.64,43,"mcgregor2013 8","",131.013449968172,"2013"
